2017-10-29T13:31:38.052Z >> OptiZen - Start...
2017-10-29T13:31:38.071Z >> org.optizen.util.Settings : createIniFile(String) >> Le fichier OptiZen.ini existe d�j� !
2017-10-29T13:31:38.423Z >> OptiZen - End run...
2017-10-29T13:31:40.338Z >> org.optizen.util.Settings : zenTableData() >> Tentative de lecture de la section zenTableData ...
2017-10-29T13:31:40.358Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN) param�tre COUNTER...
2017-10-29T13:31:40.363Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:31:40.367Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\0) param�tre param...
2017-10-29T13:31:40.374Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:31:40.380Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\0) param�tre data...
2017-10-29T13:31:40.385Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:31:40.389Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\1) param�tre param...
2017-10-29T13:31:40.393Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:31:40.398Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\1) param�tre data...
2017-10-29T13:31:40.404Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:31:40.408Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\2) param�tre param...
2017-10-29T13:31:40.413Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:31:40.417Z >> org.optizen.util.Settings : read(section, param, value) >> Tentative de lecture de la section (LINKZEN\2) param�tre data...
2017-10-29T13:31:40.421Z >> org.optizen.util.Settings : read(section, param, value) >> ...Lecture r�ussie
2017-10-29T13:31:40.425Z >> org.optizen.util.Settings : zenTableData() >> ...Lecture r�ussie
